Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	EG	GN	SP	JW	Ori	LeftEnd	RightEnd
P0A6K6	deoB	drm thyR	b4383	JW4346	DEOB_ECOLI	EG10220	deoB	P0A6K6	JW4346	Clockwise	4617626	4618849
P0A6L0	deoC	dra thyR	b4381	JW4344	DEOC_ECOLI	EG10221	deoC	P0A6L0	JW4344	Clockwise	4615346	4616125
P0ABP8	deoD	pup	b4384	JW4347	DEOD_ECOLI	EG10222	deoD	P0ABP8	JW4347	Clockwise	4618906	4619625
P0ACK5	deoR	nucR	b0840	JW0824	DEOR_ECOLI	EG10223	deoR	P0ACK5	JW0824	Counterclockwise	881199	881957
P0ABN1	dgkA		b4042	JW4002	KDGL_ECOLI	EG10224	dgkA	P0ABN1	JW4002	Clockwise	4254660	4255028
P15723	dgt		b0160	JW0156	DGTP_ECOLI	EG10225	dgt	P15723	JW0156	Clockwise	179237	180754
P06966	dicA		b1570	JW1562	DICA_ECOLI	EG10226	dicA	P06966	JW1562	Clockwise	1645958	1646365
P09557	dicB		b1575	JW1566	DICB_ECOLI	EG10227	dicB	P09557	JW1566	Clockwise	1647633	1647821
P06965	dicC		b1569	JW1561	DICC_ECOLI	EG10228	dicC	P06965	JW1561	Counterclockwise	1645644	1645874
P15286	flk	div	b2321	JW2318	FLK_ECOLI	EG10229	flk	P15286	JW2318	Clockwise	2435972	2436967
P0ABS1	dksA		b0145	JW0141	DKSA_ECOLI	EG10230	dksA	P0ABS1	JW0141	Counterclockwise	160149	160604
P06149	dld		b2133	JW2121	DLD_ECOLI	EG10231	dld	P06149	JW2121	Clockwise	2220207	2221922
P18775	dmsA		b0894	JW5118	DMSA_ECOLI	EG10232	dmsA	P18775	JW5118	Clockwise	940182	942626
P18776	dmsB		b0895	JW0878	DMSB_ECOLI	EG10233	dmsB	P18776	JW0878	Clockwise	942637	943254
P18777	dmsC		b0896	JW0879	DMSC_ECOLI	EG10234	dmsC	P18777	JW0879	Clockwise	943256	944119
P03004	dnaA		b3702	JW3679	DNAA_ECOLI	EG10235	dnaA	P03004	JW3679	Counterclockwise	3880349	3881752
P0ACB0	dnaB	groP grpA	b4052	JW4012	DNAB_ECOLI	EG10236	dnaB	P0ACB0	JW4012	Clockwise	4262337	4263752
P0AEF0	dnaC	dnaD	b4361	JW4325	DNAC_ECOLI	EG10237	dnaC	P0AEF0	JW4325	Counterclockwise	4598261	4598998
P10443	dnaE	polC	b0184	JW0179	DPO3A_ECOLI	EG10238	dnaE	P10443	JW0179	Clockwise	205126	208608
P0ABS5	dnaG	dnaP parB	b3066	JW3038	PRIM_ECOLI	EG10239	dnaG	P0ABS5	JW3038	Clockwise	3209129	3210874
P08622	dnaJ	groP	b0015	JW0014	DNAJ_ECOLI	EG10240	dnaJ	P08622	JW0014	Clockwise	14168	15298
P0A6Y8	dnaK	groP grpF seg	b0014	JW0013	DNAK_ECOLI	EG10241	dnaK	P0A6Y8	JW0013	Clockwise	12163	14079
P0A988	dnaN		b3701	JW3678	DPO3B_ECOLI	EG10242	dnaN	P0A988	JW3678	Counterclockwise	3879244	3880344
P03007	dnaQ	mutD	b0215	JW0205	DPO3E_ECOLI	EG10243	dnaQ	P03007	JW0205	Clockwise	236067	236798
P0A8J2	dnaT		b4362	JW4326	DNAT_ECOLI	EG10244	dnaT	P0A8J2	JW4326	Counterclockwise	4599001	4599540
P06710	dnaX	dnaZ dnaZX	b0470	JW0459	DPO3X_ECOLI	EG10245	dnaX	P06710	JW0459	Clockwise	491316	493247
P0AEZ7	mltD	dniR yafG	b0211	JW5018	MLTD_ECOLI	EG10246	mltD	P0AEZ7	JW5018	Counterclockwise	232597	233955
P24224	acpS	dpj	b2563	JW2547	ACPS_ECOLI	EG10247	acpS	P24224	JW2547	Counterclockwise	2698640	2699020
P23847	dppA		b3544	JW3513	DPPA_ECOLI	EG10248	dppA	P23847	JW3513	Counterclockwise	3704121	3705728
P00926	dsdA		b2366	JW2363	SDHD_ECOLI	EG10249	dsdA	P00926	JW2363	Clockwise	2477224	2478552
P08555	dsdX	yfdA yfdD	b2365	JW2362	DSDX_ECOLI	EG10250	dsdX	P08555	JW2362	Clockwise	2475869	2477206
P06968	dut	dnaS sof	b3640	JW3615	DUT_ECOLI	EG10251	dut	P06968	JW3615	Clockwise	3811955	3812410
P06864	ebgA		b3076	JW5511	BGA2_ECOLI	EG10252	ebgA	P06864	JW5511	Clockwise	3220655	3223747
P0AC73	ebgC		b3077	JW3048	EBGC_ECOLI	EG10253	ebgC	P0AC73	JW3048	Clockwise	3223744	3224193
P06846	ebgR		b3075	JW3046	EBGR_ECOLI	EG10254	ebgR	P06846	JW3046	Clockwise	3219488	3220471
P23827	eco	eti	b2209	JW2197	ECOT_ECOLI	EG10255	eco	P23827	JW2197	Clockwise	2301927	2302415
P0A955	eda	hga kdgA	b1850	JW1839	ALKH_ECOLI	EG10256	eda	P0A955	JW1839	Counterclockwise	1930139	1930780
P0ADF6	edd		b1851	JW1840	EDD_ECOLI	EG10257	edd	P0ADF6	JW1840	Counterclockwise	1930817	1932628
P0A6P9	eno		b2779	JW2750	ENO_ECOLI	EG10258	eno	P0A6P9	JW2750	Counterclockwise	2904665	2905963
P15047	entA		b0596	JW0588	ENTA_ECOLI	EG10259	entA	P15047	JW0588	Clockwise	627774	628520
P0ADI4	entB	entG	b0595	JW0587	ENTB_ECOLI	EG10260	entB	P0ADI4	JW0587	Clockwise	626917	627774
P0AEJ2	entC		b0593	JW0585	ENTC_ECOLI	EG10261	entC	P0AEJ2	JW0585	Clockwise	624108	625283
P19925	entD		b0583	JW5085	ENTD_ECOLI	EG10262	entD	P19925	JW5085	Counterclockwise	608682	609311
P10378	entE		b0594	JW0586	ENTE_ECOLI	EG10263	entE	P10378	JW0586	Clockwise	625293	626903
P11454	entF		b0586	JW0578	ENTF_ECOLI	EG10264	entF	P11454	JW0578	Clockwise	613380	617261
P0A725	lpxC	asmB envA	b0096	JW0094	LPXC_ECOLI	EG10265	lpxC	P0A725	JW0094	Clockwise	106557	107474
P24180	acrE	envC	b3265	JW3233	ACRE_ECOLI	EG10266	acrE	P24180	JW3233	Clockwise	3411886	3413043
P24181	acrF	envD	b3266	JW3234	ACRF_ECOLI	EG10267	acrF	P24181	JW3234	Clockwise	3413055	3416159
P10805	envY		b0566	JW0555	ENVY_ECOLI	EG10268	envY	P10805	JW0555	Counterclockwise	585370	586131
P0AEJ4	envZ	ompB perA tpo	b3404	JW3367	ENVZ_ECOLI	EG10269	envZ	P0AEJ4	JW3367	Counterclockwise	3532538	3533890
P06616	era	rbaA	b2566	JW2550	ERA_ECOLI	EG10270	era	P06616	JW2550	Counterclockwise	2700503	2701408
P0ABU7	exbB		b3006	JW2974	EXBB_ECOLI	EG10271	exbB	P0ABU7	JW2974	Counterclockwise	3149272	3150006
P0ABV2	exbD		b3005	JW2973	EXBD_ECOLI	EG10272	exbD	P0ABV2	JW2973	Counterclockwise	3148840	3149265
P0A6Q3	fabA		b0954	JW0937	FABA_ECOLI	EG10273	fabA	P0A6Q3	JW0937	Counterclockwise	1015175	1015693
P0A953	fabB	fabC	b2323	JW2320	FABB_ECOLI	EG10274	fabB	P0A953	JW2320	Counterclockwise	2438407	2439627
P0ABD8	accB	fabE	b3255	JW3223	BCCP_ECOLI	EG10275	accB	P0ABD8	JW3223	Clockwise	3403458	3403928
P24182	accC	fabG	b3256	JW3224	ACCC_ECOLI	EG10276	accC	P24182	JW3224	Clockwise	3403939	3405288
P0A6R0	fabH		b1091	JW1077	FABH_ECOLI	EG10277	fabH	P0A6R0	JW1077	Clockwise	1147982	1148935
P21151	fadA	oldA	b3845	JW5578	FADA_ECOLI	EG10278	fadA	P21151	JW5578	Counterclockwise	4025632	4026795
P21177	fadB	oldB	b3846	JW3822	FADB_ECOLI	EG10279	fadB	P21177	JW3822	Counterclockwise	4026805	4028994
P10384	fadL	ttr	b2344	JW2341	FADL_ECOLI	EG10280	fadL	P10384	JW2341	Clockwise	2459328	2460668
P0A8V6	fadR	oleR thdB	b1187	JW1176	FADR_ECOLI	EG10281	fadR	P0A8V6	JW1176	Clockwise	1234161	1234880
P0AB71	fbaA	fba fda	b2925	JW2892	ALF_ECOLI	EG10282	fbaA	P0AB71	JW2892	Counterclockwise	3068187	3069266
P0A993	fbp	fdp	b4232	JW4191	F16PA_ECOLI	EG10283	fbp	P0A993	JW4191	Counterclockwise	4452634	4453632
P13024	fdhE		b3891	JW3862	FDHE_ECOLI	EG10284	fdhE	P13024	JW3862	Counterclockwise	4078322	4079251
P07658	fdhF		b4079	JW4040	FDHF_ECOLI	EG10285	fdhF	P07658	JW4040	Counterclockwise	4295242	4297389
P13036	fecA		b4291	JW4251	FECA_ECOLI	EG10286	fecA	P13036	JW4251	Counterclockwise	4512376	4514700
P15028	fecB		b4290	JW4250	FECB_ECOLI	EG10287	fecB	P15028	JW4250	Counterclockwise	4511429	4512331
P15030	fecC		b4289	JW4249	FECC_ECOLI	EG10288	fecC	P15030	JW4249	Counterclockwise	4510434	4511432
P15029	fecD		b4288	JW4248	FECD_ECOLI	EG10289	fecD	P15029	JW4248	Counterclockwise	4509481	4510437
P15031	fecE		b4287	JW4247	FECE_ECOLI	EG10290	fecE	P15031	JW4247	Counterclockwise	4508713	4509480
P23484	fecI		b4293	JW4253	FECI_ECOLI	EG10291	fecI	P23484	JW4253	Counterclockwise	4515737	4516258
P23485	fecR		b4292	JW4252	FECR_ECOLI	EG10292	fecR	P23485	JW4252	Counterclockwise	4514787	4515740
P05825	fepA	fep feuB	b0584	JW5086	FEPA_ECOLI	EG10293	fepA	P05825	JW5086	Counterclockwise	609477	611717
P0AEL6	fepB		b0592	JW0584	FEPB_ECOLI	EG10294	fepB	P0AEL6	JW0584	Counterclockwise	622777	623733
P23878	fepC		b0588	JW0580	FEPC_ECOLI	EG10295	fepC	P23878	JW0580	Counterclockwise	618607	619422
P23876	fepD		b0590	JW0582	FEPD_ECOLI	EG10296	fepD	P23876	JW0582	Counterclockwise	620408	621412
P26266	fepE		b0587	JW0579	FEPE_ECOLI	EG10297	fepE	P26266	JW0579	Clockwise	617477	618610
P23877	fepG		b0589	JW0581	FEPG_ECOLI	EG10298	fepG	P23877	JW0581	Counterclockwise	619419	620411
P13039	fes		b0585	JW0576	FES_ECOLI	EG10299	fes	P13039	JW0576	Clockwise	612038	613162
P0AGD7	ffh		b2610	JW5414	SRP54_ECOLI	EG10300	ffh	P0AGD7	JW5414	Counterclockwise	2744456	2745817
P19323	fhlA		b2731	JW2701	FHLA_ECOLI	EG10301	fhlA	P19323	JW2701	Clockwise	2852360	2854438
P06971	fhuA	tonA	b0150	JW0146	FHUA_ECOLI	EG10302	fhuA	P06971	JW0146	Clockwise	167484	169727
P06972	fhuB		b0153	JW0149	FHUB_ECOLI	EG10303	fhuB	P06972	JW0149	Clockwise	171462	173444
P07821	fhuC		b0151	JW0147	FHUC_ECOLI	EG10304	fhuC	P07821	JW0147	Clockwise	169778	170575
P07822	fhuD		b0152	JW0148	FHUD_ECOLI	EG10305	fhuD	P07822	JW0148	Clockwise	170575	171465
P16869	fhuE		b1102	JW1088	FHUE_ECOLI	EG10306	fhuE	P16869	JW1088	Counterclockwise	1158585	1160774
P20605	fic		b3361	JW3324	FIC_ECOLI	EG10307	fic	P20605	JW3324	Counterclockwise	3488883	3489485
P04128	fimA	pilA	b4314	JW4277	FIMA1_ECOLI	EG10308	fimA	P04128	JW4277	Clockwise	4541138	4541686
P0ADH5	fimB		b4312	JW4275	FIMB_ECOLI	EG10309	fimB	P0ADH5	JW4275	Clockwise	4538980	4539582
P31697	fimC		b4316	JW4279	FIMC_ECOLI	EG10310	fimC	P31697	JW4279	Clockwise	4542327	4543052
P30130	fimD		b4317	JW5780	FIMD_ECOLI	EG10311	fimD	P30130	JW5780	Clockwise	4543119	4545755
P0ADH7	fimE		b4313	JW4276	FIME_ECOLI	EG10312	fimE	P0ADH7	JW4276	Clockwise	4540060	4540656
P08189	fimF		b4318	JW4281	FIMF_ECOLI	EG10313	fimF	P08189	JW4281	Clockwise	4545765	4546295
P08190	fimG		b4319	JW4282	FIMG_ECOLI	EG10314	fimG	P08190	JW4282	Clockwise	4546308	4546811
P08191	fimH		b4320	JW4283	FIMH_ECOLI	EG10315	fimH	P08191	JW4283	Clockwise	4546831	4547733
P21645	lpxD	firA omsA	b0179	JW0174	LPXD_ECOLI	EG10316	lpxD	P21645	JW0174	Clockwise	200971	201996
P0A6R3	fis		b3261	JW3229	FIS_ECOLI	EG10317	fis	P0A6R3	JW3229	Clockwise	3409293	3409589
P61949	fldA		b0684	JW0671	FLAV_ECOLI	EG10318	fldA	P61949	JW0671	Counterclockwise	710158	710688
P0ABY7	flhC	flaI	b1891	JW1880	FLHC_ECOLI	EG10319	flhC	P0ABY7	JW1880	Counterclockwise	1975290	1975868
P0A8S9	flhD	flbB	b1892	JW1881	FLHD_ECOLI	EG10320	flhD	P0A8S9	JW1881	Counterclockwise	1975871	1976221
P04949	fliC	flaF hag	b1923	JW1908	FLIC_ECOLI	EG10321	fliC	P04949	JW1908	Counterclockwise	2000134	2001630
P0ABX8	fliL	cheC1 fla AI fla QI	b1944	JW1928	FLIL_ECOLI	EG10322	fliL	P0ABX8	JW1928	Clockwise	2017642	2018106
P06974	fliM	cheC2 fla AII fla QII	b1945	JW1929	FLIM_ECOLI	EG10323	fliM	P06974	JW1929	Clockwise	2018111	2019115
P15070	fliN	flaN motD	b1946	JW1930	FLIN_ECOLI	EG10324	fliN	P15070	JW1930	Clockwise	2019112	2019525
P0A9E5	fnr	nirR	b1334	JW1328	FNR_ECOLI	EG10325	fnr	P0A9E5	JW1328	Counterclockwise	1396798	1397550
P0ABQ4	folA	tmrA	b0048	JW0047	DYR_ECOLI	EG10326	folA	P0ABQ4	JW0047	Clockwise	49823	50302
P08192	folC	dedC	b2315	JW2312	FOLC_ECOLI	EG10327	folC	P08192	JW2312	Counterclockwise	2429696	2430964
P24186	folD	ads	b0529	JW0518	FOLD_ECOLI	EG10328	folD	P24186	JW0518	Counterclockwise	556098	556964
P05523	mutM	fpg	b3635	JW3610	FPG_ECOLI	EG10329	mutM	P05523	JW3610	Counterclockwise	3808366	3809175
P00363	frdA		b4154	JW4115	FRDA_ECOLI	EG10330	frdA	P00363	JW4115	Counterclockwise	4378533	4380341
P0AC47	frdB		b4153	JW4114	FRDB_ECOLI	EG10331	frdB	P0AC47	JW4114	Counterclockwise	4377806	4378540
P0A8Q0	frdC		b4152	JW4113	FRDC_ECOLI	EG10332	frdC	P0A8Q0	JW4113	Counterclockwise	4377400	4377795
P0A8Q3	frdD		b4151	JW4112	FRDD_ECOLI	EG10333	frdD	P0A8Q3	JW4112	Counterclockwise	4377030	4377389
P0AEN1	fre	fadI flrD fsrC ubiB	b3844	JW3820	FRE_ECOLI	EG10334	fre	P0AEN1	JW3820	Clockwise	4024550	4025251
P0A805	frr	rrf	b0172	JW0167	RRF_ECOLI	EG10335	frr	P0A805	JW0167	Clockwise	192872	193429
P20966	fruA	ptsF	b2167	JW2154	PTFBC_ECOLI	EG10336	fruA	P20966	JW2154	Counterclockwise	2257741	2259432
P0AEW9	fruK	fpk	b2168	JW2155	K1PF_ECOLI	EG10337	fruK	P0AEW9	JW2155	Counterclockwise	2259449	2260387
P0ACP1	fruR	cra fruC shl	b0080	JW0078	FRUR_ECOLI	EG10338	fruR	P0ACP1	JW0078	Clockwise	88028	89032
P0ABH0	ftsA	divA	b0094	JW0092	FTSA_ECOLI	EG10339	ftsA	P0ABH0	JW0092	Clockwise	103982	105244
P0A9R7	ftsE		b3463	JW3428	FTSE_ECOLI	EG10340	ftsE	P0A9R7	JW3428	Counterclockwise	3600102	3600770
P0AD68	ftsI	pbpB	b0084	JW0082	FTSI_ECOLI	EG10341	ftsI	P0AD68	JW0082	Clockwise	91413	93179
P06136	ftsQ		b0093	JW0091	FTSQ_ECOLI	EG10342	ftsQ	P06136	JW0091	Clockwise	103155	103985
P0ADX9	rsmD	yhhF	b3465	JW3430	RSMD_ECOLI	EG10343	rsmD	P0ADX9	JW3430	Clockwise	3602416	3603012
P0ABG4	ftsW		b0089	JW0087	FTSW_ECOLI	EG10344	ftsW	P0ABG4	JW0087	Clockwise	98403	99647
P0AC30	ftsX	ftsS	b3462	JW3427	FTSX_ECOLI	EG10345	ftsX	P0AC30	JW3427	Counterclockwise	3599051	3600109
P10121	ftsY		b3464	JW3429	FTSY_ECOLI	EG10346	ftsY	P10121	JW3429	Counterclockwise	3600773	3602266
P0A9A6	ftsZ	sfiB sulB	b0095	JW0093	FTSZ_ECOLI	EG10347	ftsZ	P0A9A6	JW0093	Clockwise	105305	106456
P0AB87	fucA	fucC prd	b2800	JW2771	FUCA_ECOLI	EG10348	fucA	P0AB87	JW2771	Counterclockwise	2931063	2931710
P69922	fucI		b2802	JW2773	FUCI_ECOLI	EG10349	fucI	P69922	JW2773	Clockwise	2933606	2935381
P11553	fucK		b2803	JW2774	FUCK_ECOLI	EG10350	fucK	P11553	JW2774	Clockwise	2935460	2936908
P0A9S1	fucO		b2799	JW2770	FUCO_ECOLI	EG10351	fucO	P0A9S1	JW2770	Counterclockwise	2929887	2931038
P11551	fucP		b2801	JW2772	FUCP_ECOLI	EG10352	fucP	P11551	JW2772	Clockwise	2932257	2933573
P0ACK8	fucR		b2805	JW2776	FUCR_ECOLI	EG10353	fucR	P0ACK8	JW2776	Clockwise	2937390	2938121
P0AEN8	fucU		b2804	JW2775	FUCM_ECOLI	EG10355	fucU	P0AEN8	JW2775	Clockwise	2936910	2937332
P0AC33	fumA		b1612	JW1604	FUMA_ECOLI	EG10356	fumA	P0AC33	JW1604	Counterclockwise	1684755	1686401
P14407	fumB		b4122	JW4083	FUMB_ECOLI	EG10357	fumB	P14407	JW4083	Counterclockwise	4343703	4345349
P05042	fumC		b1611	JW1603	FUMC_ECOLI	EG10358	fumC	P05042	JW1603	Counterclockwise	1683209	1684612
P0A9A9	fur		b0683	JW0669	FUR_ECOLI	EG10359	fur	P0A9A9	JW0669	Counterclockwise	709423	709869
P0A6M8	fusA	far fus	b3340	JW3302	EFG_ECOLI	EG10360	fusA	P0A6M8	JW3302	Counterclockwise	3469422	3471536
P22256	gabT		b2662	JW2637	GABT_ECOLI	EG10361	gabT	P22256	JW2637	Clockwise	2790757	2792037
P09147	galE	galD	b0759	JW0742	GALE_ECOLI	EG10362	galE	P09147	JW0742	Counterclockwise	790262	791278
P0A6T3	galK	galA	b0757	JW0740	GAL1_ECOLI	EG10363	galK	P0A6T3	JW0740	Counterclockwise	788054	789202
P03024	galR		b2837	JW2805	GALR_ECOLI	EG10364	galR	P03024	JW2805	Clockwise	2974621	2975652
P25748	galS		b2151	JW2138	GALS_ECOLI	EG10365	galS	P25748	JW2138	Counterclockwise	2238650	2239690
P09148	galT	galB	b0758	JW0741	GAL7_ECOLI	EG10366	galT	P09148	JW0741	Counterclockwise	789206	790252
P0A9B2	gapA		b1779	JW1768	G3P1_ECOLI	EG10367	gapA	P0A9B2	JW1768	Clockwise	1860795	1861790
P0A9B6	epd	gapB	b2927	JW2894	E4PD_ECOLI	EG10368	epd	P0A9B6	JW2894	Counterclockwise	3070694	3071713
P15877	gcd		b0124	JW0120	DHG_ECOLI	EG10369	gcd	P15877	JW0120	Counterclockwise	138835	141225
P62620	ispG	gcpE	b2515	JW2499	ISPG_ECOLI	EG10370	ispG	P62620	JW2499	Counterclockwise	2638708	2639826
P0A6T9	gcvH		b2904	JW2872	GCSH_ECOLI	EG10371	gcvH	P0A6T9	JW2872	Counterclockwise	3047182	3047571
P00370	gdhA		b1761	JW1750	DHE4_ECOLI	EG10372	gdhA	P00370	JW1750	Clockwise	1840395	1841738
P33236	mokC	gefL	b0018	JW5879	MOKC_ECOLI	EG10373	hokC	P0ACG4	JW5879	Counterclockwise	16751	16903
P18956	ggt		b3447	JW3412	GGT_ECOLI	EG10374	ggt	P18956	JW3412	Counterclockwise	3583104	3584846
P0A6U3	mnmG	gidA trmF	b3741	JW3719	MNMG_ECOLI	EG10375	mnmG	P0A6U3	JW3719	Counterclockwise	3921767	3923656
P0A6U5	rsmG	gidB	b3740	JW3718	RSMG_ECOLI	EG10376	rsmG	P0A6U5	JW3718	Counterclockwise	3921080	3921703
P0A6U8	glgA		b3429	JW3392	GLGA_ECOLI	EG10377	glgA	P0A6U8	JW3392	Counterclockwise	3564623	3566056
P07762	glgB		b3432	JW3395	GLGB_ECOLI	EG10378	glgB	P07762	JW3395	Counterclockwise	3569339	3571525
P0A6V1	glgC		b3430	JW3393	GLGC_ECOLI	EG10379	glgC	P0A6V1	JW3393	Counterclockwise	3566056	3567351
P0AC86	glgP	glgY	b3428	JW3391	PHSG_ECOLI	EG10380	glgP	P0AC86	JW3391	Counterclockwise	3562157	3564604
P15067	glgX	glyX	b3431	JW3394	GLGX_ECOLI	EG10381	glgX	P15067	JW3394	Counterclockwise	3567369	3569342
P17169	glmS		b3729	JW3707	GLMS_ECOLI	EG10382	glmS	P17169	JW3707	Counterclockwise	3909862	3911691
P0A9C5	glnA		b3870	JW3841	GLNA_ECOLI	EG10383	glnA	P0A9C5	JW3841	Counterclockwise	4054648	4056057
P0A9Z1	glnB		b2553	JW2537	GLNB_ECOLI	EG10384	glnB	P0A9Z1	JW2537	Counterclockwise	2685092	2685430
P0AFB8	glnG	glnT ntrC	b3868	JW3839	NTRC_ECOLI	EG10385	glnG	P0AFB8	JW3839	Counterclockwise	4051892	4053301
P0AEQ3	glnH		b0811	JW0796	GLNH_ECOLI	EG10386	glnH	P0AEQ3	JW0796	Counterclockwise	846481	847227
P0AFB5	glnL	glnR ntrB	b3869	JW3840	NTRB_ECOLI	EG10387	glnL	P0AFB5	JW3840	Counterclockwise	4053313	4054362
P0AEQ6	glnP		b0810	JW0795	GLNP_ECOLI	EG10388	glnP	P0AEQ6	JW0795	Counterclockwise	845683	846342
P10346	glnQ		b0809	JW0794	GLNQ_ECOLI	EG10389	glnQ	P10346	JW0794	Counterclockwise	844964	845686
P00962	glnS		b0680	JW0666	SYQ_ECOLI	EG10390	glnS	P00962	JW0666	Clockwise	705316	706980
P0A9C0	glpA		b2241	JW2235	GLPA_ECOLI	EG10391	glpA	P0A9C0	JW2235	Clockwise	2350669	2352297
P13033	glpB		b2242	JW2236	GLPB_ECOLI	EG10392	glpB	P13033	JW2236	Clockwise	2352287	2353546
P0A996	glpC		b2243	JW2237	GLPC_ECOLI	EG10393	glpC	P0A996	JW2237	Clockwise	2353543	2354733
P13035	glpD	glyD	b3426	JW3389	GLPD_ECOLI	EG10394	glpD	P13035	JW3389	Clockwise	3560036	3561541
P0A6V5	glpE		b3425	JW3388	GLPE_ECOLI	EG10395	glpE	P0A6V5	JW3388	Counterclockwise	3559520	3559846
P0AER0	glpF		b3927	JW3898	GLPF_ECOLI	EG10396	glpF	P0AER0	JW3898	Counterclockwise	4115268	4116113
P09391	glpG		b3424	JW5687	GLPG_ECOLI	EG10397	glpG	P09391	JW5687	Counterclockwise	3558645	3559475
P0A6F3	glpK		b3926	JW3897	GLPK_ECOLI	EG10398	glpK	P0A6F3	JW3897	Counterclockwise	4113737	4115245
P09394	glpQ		b2239	JW2233	GLPQ_ECOLI	EG10399	glpQ	P09394	JW2233	Counterclockwise	2347957	2349033
P0ACL0	glpR		b3423	JW3386	GLPR_ECOLI	EG10400	glpR	P0ACL0	JW3386	Counterclockwise	3557870	3558628
P08194	glpT		b2240	JW2234	GLPT_ECOLI	EG10401	glpT	P08194	JW2234	Counterclockwise	2349038	2350396
P0ABH7	gltA	gluT icdB	b0720	JW0710	CISY_ECOLI	EG10402	gltA	P0ABH7	JW0710	Counterclockwise	752408	753691
P09831	gltB	aspB	b3212	JW3179	GLTB_ECOLI	EG10403	gltB	P09831	JW3179	Clockwise	3352747	3357207
P09832	gltD	aspB	b3213	JW3180	GLTD_ECOLI	EG10404	gltD	P09832	JW3180	Clockwise	3357220	3358638
P21345	gltP		b4077	JW4038	GLTP_ECOLI	EG10405	gltP	P21345	JW4038	Clockwise	4292504	4293817
P0AER8	gltS	gltC	b3653	JW3628	GLTS_ECOLI	EG10406	gltS	P0AER8	JW3628	Counterclockwise	3825483	3826688
P04805	gltX		b2400	JW2395	SYE_ECOLI	EG10407	gltX	P04805	JW2395	Counterclockwise	2517279	2518694
P0A825	glyA		b2551	JW2535	GLYA_ECOLI	EG10408	glyA	P0A825	JW2535	Counterclockwise	2682276	2683529
P00960	glyQ	glyS(A)	b3560	JW3531	SYGA_ECOLI	EG10409	glyQ	P00960	JW3531	Counterclockwise	3722430	3723341
P00961	glyS	glyS(B)	b3559	JW3530	SYGB_ECOLI	EG10410	glyS	P00961	JW3530	Counterclockwise	3720351	3722420
P00350	gnd		b2029	JW2011	6PGD_ECOLI	EG10411	gnd	P00350	JW2011	Counterclockwise	2097886	2099292
P06715	gor		b3500	JW3467	GSHR_ECOLI	EG10412	gor	P06715	JW3467	Clockwise	3644322	3645674
P25552	gppA	gpp	b3779	JW5603	GPPA_ECOLI	EG10413	gpp	P25552	JW5603	Counterclockwise	3960768	3962252
P0A9M5	gpt	gpp gxu	b0238	JW0228	XGPT_ECOLI	EG10414	gpt	P0A9M5	JW0228	Clockwise	255977	256435
P0A6W5	greA		b3181	JW3148	GREA_ECOLI	EG10415	greA	P0A6W5	JW3148	Counterclockwise	3326261	3326737
P09372	grpE		b2614	JW2594	GRPE_ECOLI	EG10416	grpE	P09372	JW2594	Counterclockwise	2748137	2748730
P68688	grxA	grx	b0849	JW0833	GLRX1_ECOLI	EG10417	grxA	P68688	JW0833	Counterclockwise	889719	889976
P0A6W9	gshA	gsh-I	b2688	JW2663	GSH1_ECOLI	EG10418	gshA	P0A6W9	JW2663	Counterclockwise	2812905	2814461
P04425	gshB	gsh-II	b2947	JW2914	GSHB_ECOLI	EG10419	gshB	P04425	JW2914	Clockwise	3089900	3090850
P04079	guaA		b2507	JW2491	GUAA_ECOLI	EG10420	guaA	P04079	JW2491	Counterclockwise	2628980	2630557
P0ADG7	guaB	guaR	b2508	JW5401	IMDH_ECOLI	EG10421	guaB	P0ADG7	JW5401	Counterclockwise	2630626	2632092
P60560	guaC		b0104	JW0101	GUAC_ECOLI	EG10422	guaC	P60560	JW0101	Clockwise	113444	114487
P0AES4	gyrA	hisW nalA parD	b2231	JW2225	GYRA_ECOLI	EG10423	gyrA	P0AES4	JW2225	Counterclockwise	2334815	2337442
P0AES6	gyrB	acrB himB hisU nalC parA pcbA	b3699	JW5625	GYRB_ECOLI	EG10424	gyrB	P0AES6	JW5625	Counterclockwise	3875728	3878142
P0AET8	hdhA	hsdH	b1619	JW1611	HDHA_ECOLI	EG10425	hdhA	P0AET8	JW1611	Counterclockwise	1695297	1696064
P15038	helD		b0962	JW0945	HELD_ECOLI	EG10426	helD	P15038	JW0945	Clockwise	1023694	1025748
P0A6X1	hemA		b1210	JW1201	HEM1_ECOLI	EG10427	hemA	P0A6X1	JW1201	Clockwise	1262937	1264193
P0ACB2	hemB	ncf	b0369	JW0361	HEM2_ECOLI	EG10428	hemB	P0ACB2	JW0361	Counterclockwise	387977	388951
P06983	hemC	popE	b3805	JW5932	HEM3_ECOLI	EG10429	hemC	P06983	JW5932	Counterclockwise	3987848	3988789
P09126	hemD		b3804	JW3776	HEM4_ECOLI	EG10430	hemD	P09126	JW3776	Counterclockwise	3987111	3987851
P23871	hemH	popA visA	b0475	JW0464	HEMH_ECOLI	EG10431	hemH	P23871	JW0464	Clockwise	497279	498241
P23893	hemL	gsa popC	b0154	JW0150	GSA_ECOLI	EG10432	hemL	P23893	JW0150	Counterclockwise	173602	174882
