Accession	Molecular Function(EcoCyc)
P08506	hydrolase activity|peptidase activity|serine-type D-Ala-D-Ala carboxypeptidase activity|carboxypeptidase activity
P0AC28	nucleotide binding|ATP binding
C4ZXI3	transferase activity
P0ACL7	DNA binding
B1X6V9	histidinol-phosphatase activity|hydrolase activity|lyase activity|imidazoleglycerol-phosphate dehydratase activity|catalytic activity
C4ZQQ6	transferase activity|kinase activity|nucleotidyltransferase activity
B1X9D5	oxidoreductase activity|DNA binding
B1XFG9	transferase activity|acyltransferase activity
P75942	hydrolase activity|hydrolase activity, acting on glycosyl bonds
P24555	hydrolase activity|serine-type peptidase activity|peptidase activity
B1XF09	transferase activity
P0AFA2	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
P76082	lyase activity|enoyl-CoA hydratase activity
P37765	isomerase activity|RNA binding
P42641	RNA binding|rRNA binding|GTP binding|DNA binding|nucleotide binding
C4ZR33	DNA binding
P0A7S3	RNA binding|rRNA binding|tRNA binding
P32719	isomerase activity|metal ion binding
P03813	isomerase activity
P0AE37	arginine N-succinyltransferase activity|transferase activity|acyltransferase activity
C4ZQC3	DNA binding
P0AEX5	transferase activity|phosphoribulokinase activity|nucleotide binding|kinase activity|ATP binding
B1XF76	fumarate hydratase activity|lyase activity
C4ZU76	oxidoreductase activity|ribonucleoside-diphosphate reductase activity
B1X6K0	antiporter activity
B1X6L3	glutamine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P69054	metal ion binding
B1XD45	hydrolase activity|metallopeptidase activity|peptidase activity
P0AB18	transferase activity
P00956	aminoacyl-tRNA ligase activity|nucleotide binding|isoleucine-tRNA ligase activity|metal ion binding|ATP binding|ligase activity
P39305	L-ribulose-5-phosphate 3-epimerase activity|isomerase activity
C4ZQF5	methyltransferase activity|transferase activity
D0VEY8	phosphatidylserine decarboxylase activity|lyase activity|carboxy-lyase activity
C4ZRJ5	metal ion binding
P0A6D3	3-phosphoshikimate 1-carboxyvinyltransferase activity|transferase activity
P07913	oxidoreductase activity|metal ion binding|L-threonine 3-dehydrogenase activity
B1XCF7	DNA binding
P0A873	tRNA (guanine-N1-)-methyltransferase activity|methyltransferase activity|transferase activity
C4ZVV7	oxidoreductase activity
P0A9T6	DNA binding
P0A7M6	RNA binding|rRNA binding
C4ZSX0	hydrolase activity
B1XFA4	transferase activity|nucleotide binding|methionine adenosyltransferase activity|metal ion binding|ATP binding
B1X9C8	FMN reductase activity|oxidoreductase activity
P23256	lyase activity|cystathionine beta-lyase activity
C4ZYK3	hydrolase activity|hydrolase activity, acting on glycosyl bonds
P32674	formate C-acetyltransferase activity|transferase activity|acyltransferase activity
P37349	transferase activity|nucleotide binding|kinase activity|ATP binding
P0A9E2	DNA binding
B1X998	hydrolase activity|adenine deaminase activity
C4ZR43	DNA binding
P0A812	hydrolase activity|helicase activity|nucleotide binding|ATP binding
P37013	DNA binding|nucleotide binding|ATP binding
P76055	nucleotide binding|ATP binding
B1XEB7	DNA binding
Q47155	transferase activity|DNA-directed DNA polymerase activity|DNA binding|metal ion binding|nucleotidyltransferase activity
B1X8I8	transaminase activity|transferase activity
P17952	UDP-N-acetylmuramate-L-alanine ligase activity|nucleotide binding|ligase activity|ATP binding
P0A6K1	isomerase activity|diaminopimelate epimerase activity
B1XB55	hydrolase activity
B1X8D8	DNA binding
C4ZZ81	transferase activity|kinase activity
P18200	hydrolase activity|phosphatidylglycerophosphatase activity
Q9S4X2	methyltransferase activity|transferase activity
P19319	nitrate reductase activity|4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
P02413	RNA binding|rRNA binding
C4ZXS1	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|transferase activity|metal ion binding
C4ZZZ8	hydrolase activity|helicase activity|nucleotide binding|ATP binding
C5A0K3	transferase activity
P0A884	thymidylate synthase activity|methyltransferase activity|RNA binding|transferase activity
P16429	oxidoreductase activity
C4ZTJ5	nucleotide binding|metal ion binding|ATP binding
C4ZXT7	hydrolase activity
P76251	tartrate dehydrogenase activity|D-malate dehydrogenase (decarboxylating) activity|oxidoreductase activity
C4ZUC9	quinone binding|oxidoreductase activity|NADH dehydrogenase (quinone) activity|catalytic activity|oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor
P21513	hydrolase activity|RNA binding|nuclease activity|endonuclease activity
B1XDV3	RNA binding|rRNA binding
P76004	metal ion binding
B1XCY3	lyase activity
B1XEN5	transferase activity
C4ZTD4	DNA binding
P76237	diguanylate cyclase activity|transferase activity|metal ion binding
C4ZX53	lyase activity
P30139	lyase activity
B1X604	oxidoreductase activity
C4ZW29	nucleotide binding|ATP binding
C5A196	DNA binding
B1X771	oxidoreductase activity
B1XEG0	lyase activity
P33221	transferase activity|nucleotide binding|metal ion binding|ATP binding
C4ZUW5	hydrolase activity
B1XEH6	isomerase activity|isopentenyl-diphosphate delta-isomerase activity|metal ion binding
B1XAD0	transferase activity
B1XDI9	phosphopyruvate hydratase activity|lyase activity|metal ion binding
P0A9I1	citryl-CoA lyase activity|lyase activity|citrate (pro-3S)-lyase activity|metal ion binding
P0A7C6	serine-type peptidase activity|hydrolase activity|peptidase activity|dipeptidase activity
P0A8J8	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding
P0A7A5	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|methyltransferase activity|transferase activity
P0C077	hydrolase activity|RNA binding|rRNA binding|endonuclease activity|nuclease activity
B1XAT9	transferase activity
B1XGK1	NAD+ synthase activity|nucleotide binding|ligase activity|ATP binding
P37338	DNA binding
P37197	cytochrome-c peroxidase activity|oxidoreductase activity|peroxidase activity|metal ion binding
P0ABS5	DNA-directed RNA polymerase activity|transferase activity|metal ion binding|nucleotidyltransferase activity
B1XCM5	alanine-tRNA ligase activity|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
P0AF20	DNA binding
C4ZSP7	transferase activity|acyltransferase activity
C4ZQE5	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
C4ZTP9	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity|transferase activity|kinase activity|nucleotide binding|ATP binding
C5A1A8	DNA binding
P00864	lyase activity|phosphoenolpyruvate carboxylase activity|catalytic activity
P39838	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
B1XBV2	DNA binding
C4ZR46	isomerase activity
C4ZXJ1	mannitol-1-phosphate 5-dehydrogenase activity|oxidoreductase activity
B1XAJ4	hydrolase activity
P62558	DNA binding
P39451	oxidoreductase activity|alcohol dehydrogenase (NAD) activity|metal ion binding
P0A6F3	glycerol kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
C4ZXP4	hydrolase activity|helicase activity|nucleotide binding|ATP binding
P0A6L4	lyase activity|N-acetylneuraminate lyase activity
C4ZXB6	oxidoreductase activity|oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
C4ZT26	transaminase activity|transferase activity|DNA binding
C4ZXL2	transferase activity
C5A170	symporter activity
B1X6P1	hydrolase activity
P00562	homoserine dehydrogenase activity|oxidoreductase activity|aspartate kinase activity|transferase activity|kinase activity|catalytic activity|nucleotide binding|ATP binding
B1XCQ0	oxidoreductase activity
C4ZXK0	oxidoreductase activity|glycerol-3-phosphate dehydrogenase [NAD(P)+] activity
C5A0T7	NAD+ diphosphatase activity|hydrolase activity|metal ion binding
P24192	metal ion binding
B1XAY6	GTP binding|nucleotide binding
P0A6H5	nucleotide binding|ATP binding
P76421	hydrolase activity|hydrolase activity, acting on glycosyl bonds
Q47690	methyltransferase activity|transferase activity|metal ion binding|homocysteine S-methyltransferase activity
C5A130	porin activity
B1XCP3	hydrolase activity|hydrolase activity, acting on glycosyl bonds
P10441	lipid-A-disaccharide synthase activity|transferase activity, transferring glycosyl groups|transferase activity
B1XG01	lyase activity|3-dehydroquinate dehydratase activity
C4ZRB3	transferase activity|kinase activity
P0A7R9	RNA binding|rRNA binding
P25396	ion channel activity
B1XE46	oxidoreductase activity
P09169	hydrolase activity|peptidase activity|aspartic-type endopeptidase activity
C4ZXI1	GTP binding|nucleotide binding
P0A746	oxidoreductase activity|peptide-methionine (R)-S-oxide reductase activity|metal ion binding
B1X8R6	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
P33225	oxidoreductase activity|trimethylamine-N-oxide reductase (cytochrome c) activity
P06282	hydrolase activity|CDP-diacylglycerol diphosphatase activity
B1XB05	transferase activity|cysteine desulfurase activity
B1XCN6	DNA binding|nucleotide binding|ATP binding
B1X947	peptidase activity
C4ZY36	nucleotide binding|ATP binding
P0CF62	DNA binding
P33607	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity
B1XBL9	transferase activity
B1XAF3	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
P09323	transporter activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|transferase activity|kinase activity
P75867	hydrolase activity|serine-type peptidase activity|peptidase activity
P0CE62	DNA binding
B1XA70	hydrolase activity
B1X6B5	hydrolase activity
P0AG14	hydrolase activity|serine-type peptidase activity|peptidase activity
B1XED3	DNA binding
P0ACB2	porphobilinogen synthase activity|lyase activity|catalytic activity|metal ion binding
P32136	symporter activity
B1XAC2	lyase activity
B1XBF9	DNA binding
C4ZQI1	nucleotide binding|ATP binding
B1XCX4	DNA binding
P0ACY1	oxidoreductase activity
B1X6H1	RNA binding|rRNA binding
B1XAM2	GTPase activator activity
C4ZTS9	transferase activity|nucleotidyltransferase activity
B1XA11	transferase activity|kinase activity
B1XFK5	isomerase activity|phosphoglycerate mutase activity
P0AGE4	symporter activity
P11454	transferase activity|nucleotide binding|catalytic activity|ligase activity|ATP binding
C4ZXR0	kinase activity
P09184	hydrolase activity|metal ion binding|endonuclease activity|nuclease activity
B1XBZ7	4 iron, 4 sulfur cluster binding|lyase activity|iron-sulfur cluster binding|metal ion binding
C5A0R4	tRNA (uracil-5-)-methyltransferase activity|methyltransferase activity|transferase activity
B1XDC5	FMN reductase activity|electron carrier activity|oxidoreductase activity, acting on NADH or NADPH, NAD or NADP as acceptor|oxidoreductase activity|FMN binding
P0CG19	tRNA nucleotidyltransferase activity|transferase activity|nucleotidyltransferase activity
B1X7L4	kinase activity
B1XEL8	oxidoreductase activity
C4ZXF8	nucleotide binding|ATP binding
C4ZUE5	ion channel activity
P06966	DNA binding
C4ZSZ7	DNA binding
P76539	transferase activity|acyltransferase activity
B1X830	DNA binding|nucleotide binding|ATP binding
P77245	DNA binding
C4ZQV3	hydrolase activity
C4ZPY7	DNA binding
C4ZSQ0	peptidase activity
C5A0J9	DNA binding
C4ZPX8	oxidoreductase activity|4-hydroxythreonine-4-phosphate dehydrogenase activity|metal ion binding
C4ZXB2	DNA binding
C4ZTY2	hydrolase activity|RNA binding|exoribonuclease II activity|exonuclease activity|nuclease activity
B1XF82	hydrolase activity|hydrolase activity, acting on glycosyl bonds
P0A780	RNA binding
P37188	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
P11989	RNA binding
P32057	transferase activity
C4ZX61	oxidoreductase activity
B1X7H4	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZQZ6	hydrolase activity
P0ACD2	transferase activity|acyltransferase activity
P21177	isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|3-hydroxyacyl-CoA dehydrogenase activity|catalytic activity|dodecenoyl-CoA delta-isomerase activity
C4ZPY3	hydrolase activity|helicase activity|DNA binding|nucleotide binding|ATP binding
P06129	receptor activity|porin activity|metal ion binding
B1XBX9	UDP-N-acetylmuramate dehydrogenase activity|oxidoreductase activity
C4ZYI1	aminoacyl-tRNA ligase activity|nucleotide binding|threonine-tRNA ligase activity|metal ion binding|ATP binding|ligase activity
B1XAZ3	nucleoside diphosphate kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
P0ACJ5	DNA binding
C4ZUK4	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
P0A6R3	DNA binding
B1X9R8	DNA binding
P0AAJ5	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XEC6	oxidoreductase activity
Q47149	hydrolase activity|RNA binding|DNA binding|nuclease activity|endonuclease activity
C4ZTZ9	hydrolase activity|nucleotide binding|ATP binding
C4ZYL8	isomerase activity|oxidoreductase activity
C5A018	oxidoreductase activity
P75793	formate C-acetyltransferase activity|transferase activity|acyltransferase activity
P0A698	DNA binding|nucleotide binding|metal ion binding|nuclease activity|ATP binding
P0ADD7	DNA binding
B1X615	lyase activity
P0AAN3	hydrolase activity|GTP binding|nucleotide binding|metal ion binding
B1XDA7	oxidoreductase activity|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
B1XAF4	oxidoreductase activity
B1X964	kinase activity
P0A6T1	isomerase activity|glucose-6-phosphate isomerase activity
P75736	hydrolase activity|carboxylesterase activity
C4ZRQ4	peptidase activity
P0AFQ7	hydrolase activity|metal ion binding|nuclease activity
C5A0A3	RNA binding|rRNA binding|metal ion binding
C5A0K6	hydrolase activity|agmatinase activity|metal ion binding
B1X7P2	hydrolase activity|S-formylglutathione hydrolase activity|carboxylesterase activity
P37128	hydrolase activity
P00490	phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity|catalytic activity
P24228	hydrolase activity|serine-type D-Ala-D-Ala carboxypeptidase activity
P31142	3-mercaptopyruvate sulfurtransferase activity|transferase activity
B1X863	hydrolase activity|hydrolase activity, acting on glycosyl bonds|metal ion binding
C4ZXF0	glycine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
C4ZWT6	methyltransferase activity|transferase activity|trans-aconitate 2-methyltransferase activity
C4ZYI0	translation initiation factor activity
P13445	sigma factor activity|DNA binding
P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity|oxidoreductase activity|metal ion binding
B1X961	transferase activity, transferring glycosyl groups|transferase activity
P0A7T3	hydrolase activity|nuclease activity|endonuclease activity
C4ZZS9	transferase activity|kinase activity
Q47706	porin activity
B1XC12	homoserine O-succinyltransferase activity|transferase activity|acyltransferase activity
B1X9T2	hydrolase activity|RNA binding|ribonuclease P activity|endonuclease activity|nuclease activity
B1XC23	aspartate kinase activity|transferase activity|kinase activity
P07024	hydrolase activity|UDP-sugar diphosphatase activity|5'-nucleotidase activity|nucleotide binding|metal ion binding
